"PCN Number","Publish Date","PCN Title","Key Characteristics",4M,"Product Categories",Abstract
119368-00,"2022/12/07 22:00:00","Select Intel(R) Core¬ i3/i5/i7 Processors and Select Intel(R) Celeron(R) Processors, PCN 119368-00, Product Discontinuance, Produt End of Life","Product Discontinuance",,"Embedded Processors","Embedded Processors, Product Discontinuance, Please determine your remaining demand for these products and place your last product discontinuance orders in accordance with the key milestones in the PCN."
119374-00,"2022/12/06 22:00:00","Intel(R) NUC 12 Pro Kit SKUs, PCN 119374-00, Product Discontinuance, Product End of Life","Product Discontinuance",,"Desktop Boards, Consumer Electronics, Compute Module","Compute Module, Consumer Electronics, Desktop Boards, Product Discontinuance, Please determine your remaining demand for these products and place your last product discontinuance orders in accordance with the key milestones in the PCN."
119355-00,"2022/12/05 22:00:00","Select 2nd Generation Intel(R) Xeon(R) Scalable Processors, PCN 119355-00, Product Discontinuance, End of life","Product Discontinuance",,"Server Processors","Server Processors, Product Discontinuance, Please determine your remaining demand for these products and place your last product discontinuance orders in accordance with the key milestones in the PCN."
119365-00,"2022/12/05 22:00:00","Select Intel(R) C240 Series Chipsets, PCN 119365-00, Product Support, Transitioning from Intel Architecture to Intel Embedded Architecture","Product Support",,"Chipsets - Workstation Server","Chipsets - Workstation Server, Product Support, Product transitioning from Intel Architecture to Embedded Intel Architecture."
119349-00,"2022/12/05 22:00:00","Select Intel Atom(R) Processor C Series, PCN 119349-00, Product Discontinuance, End of life","Product Discontinuance",,"Server Processors","Server Processors, Product Discontinuance, Please determine your remaining demand for these products and place your last product discontinuance orders in accordance with the key milestones in the PCN."
119352-00,"2022/12/02 22:00:00","Intel(R) Optane¬ SSD DC P5800X Series,, PCN 119352-00, Product Design, Product Material, Firmware Update, Component Revmoval & 2nd Source Component","Product Design","Material, Method","Flash Memory Products","Flash Memory Products, Product Design, Intel anticipates no impact to customers, see PCN detail for further information."
119364-00,"2022/12/02 22:00:00","Intel(R) Optane¬ SSD DC P5800X Series,, PCN 119364-00, Product Material, Component Revmoval & 2nd Source Component","Product Material",Material,"Flash Memory Products","Flash Memory Products, Product Material, Intel anticipates no impact to customers, see PCN detail for further information."
119372-00,"2022/12/02 22:00:00","Select Intel(R) Server Products and Accesories, PCN 119372-00, Product Discontinuance, End of Life","Product Discontinuance",,"Server Boards and Platforms","Server Boards and Platforms, Product Discontinuance, Please determine your remaining demand for these products and place your last product discontinuance orders in accordance with the key milestones in the PCN."
119342-00,"2022/12/01 22:00:00","Minor Change, 
Select Intel(R) Ethernet Controllers I226 Series,, PCN 119342-00, Manufacturing Site, Adding Sites in Taiwan to Perform Test/Finish Manufacturing","Manufacturing Site","Machine, Man","Networking Products","Networking Products, Manufacturing Site, Intel anticipates no impact to customers, see PCN detail for further information."
119366-00,"2022/12/01 22:00:00","Bulk Intel(R) NUC P14E Laptop Element, PCN 119366-00, Product Design, Update EC Firmware and Touch Pad Firmware","Product Design","Material, Method","Desktop Boards, Consumer Electronics, Compute Module","Compute Module, Consumer Electronics, Desktop Boards, Product Design, Intel anticipates no impact to customers, see PCN detail for further information."
119356-00,"2022/11/30 22:00:00","Select Intel(R) Wireless-AC 9560, 1216 SKUs, PCN 119356-00, Transport Media, Label, Desiccant Bag and Label Updates","Transport Media",Material,"Networking Products, Wireless Products","Networking Products, Wireless Products, Transport Media, Intel anticipates no impact to customers, see PCN detail for further information."
119370-00,"2022/11/30 22:00:00","Select Intel(R) Server Systems, PCN 119370-00, Product Design, Removing Rear Chassis Screws","Product Design","Material, Method","Server Boards and Platforms","Server Boards and Platforms, Product Design, Intel anticipates no impact to customers, see PCN detail for further information."
119362-00,"2022/11/30 22:00:00","Select Intel(R) Wireless-AC 1216 SKUs, PCN 119362-00, Transport Media, Label, Label and Quantity of Desiccant Bag Changes","Transport Media",Material,"Wireless Products","Wireless Products, Transport Media, Intel anticipates no impact to customers, see PCN detail for further information."
119371-00,"2022/11/30 22:00:00","Intel(R) Server System M50CYP2UR208, Single, PCN 119371-00, Product Design, Removing Rear Chassis Screws","Product Design","Material, Method","Server Boards and Platforms, Server Chassis","Server Boards and Platforms, Server Chassis, Product Design, Intel anticipates no impact to customers, see PCN detail for further information."
119367-00,"2022/11/30 22:00:00","Intel(R) Server System R2208WFTZSR, PCN 119367-00, Product Design, Label, Power Supply and Label Update, Reason for Revision: Removing the Recommended Replacement column from the Product Affected table. No replacements provided","Product Design","Material, Method","Server Boards and Platforms","Server Boards and Platforms, Product Design, Intel anticipates no impact to customers, see PCN detail for further information."
119361-00,"2022/11/29 22:00:00","Select Intel(R) NUC 12 Enthusiast Mini PC, NUC12SNKi72, PCN 119361-00, Label, Label Update",Label,"Machine, Material","Desktop Boards, Consumer Electronics, Compute Module","Compute Module, Consumer Electronics, Desktop Boards, Label, Intel anticipates no impact to customers, see PCN detail for further information."
119240-01,"2022/11/23 22:00:00","Select Intel(R) Server Chassis, Spares and Accessories, PCN 119240-01, Product Discontinuance, End of Life, Reason for Revision: MMID 960190 is no longer available for orders due to depleted inventory","Product Discontinuance",,"Server Boards and Platforms","Server Boards and Platforms, Product Discontinuance, Please determine your remaining demand for these products and place your last product discontinuance orders in accordance with the key milestones in the PCN."
119347-00,"2022/11/21 22:00:00","Intel(R) Wireless-AC 9260, 1216 SKU, PCN 119347-00, Label, Product Marking, Transport Media, Label and Desiccant Bag Updates",Label,"Machine, Material","Networking Products, Wireless Products","Networking Products, Wireless Products, Label, Intel anticipates no impact to customers, see PCN detail for further information."
119344-00,"2022/11/18 22:00:00","Select Intel(R) NUC M15 Laptop Kit, and EVO Intel(R) NUC M15 Laptop, PCN 119344-00, Product Design, BIOS and Image Update","Product Design","Material, Method","Desktop Boards, Consumer Electronics, Compute Module","Compute Module, Consumer Electronics, Desktop Boards, Product Design, Intel anticipates no impact to customers, see PCN detail for further information."
119340-00,"2022/11/17 22:00:00","Select Intel(R) Ethernet SFP+ SR Optics, PCN 119340-00, Manufacturing Site, Label, Part Number Change Displayed on Optic Label","Manufacturing Site","Machine, Man","Networking Products","Networking Products, Manufacturing Site, Intel anticipates no impact to customers, see PCN detail for further information."
119326-01,"2022/11/16 22:00:00","Select Intel(R) Optane¬ Persistent Memory 100 Series products, PCN 119326-01, Product Design, Adding Alternate DQ Buffer Vendor, Reason for Revision: Ensuring Product Suppy Continuity","Product Design","Material, Method","Flash Memory Products","Flash Memory Products, Product Design, Intel anticipates no impact to customers, see PCN detail for further information."
119337-00,"2022/11/15 22:00:00","Intel(R) Server Board S2600BP product family, PCN 119337-00, Label, UKCA Label Update",Label,"Machine, Material","Server Boards and Platforms, Server Chassis","Server Boards and Platforms, Server Chassis, Label, Intel anticipates no impact to customers, see PCN detail for further information."
118873-01,"2022/11/14 22:00:00","Select Intel(R) Ethernet Converged Network Adapter X520-SR2 and Intel(R) Ethernet SFP+ SR Optics, PCN 118873-01, Label, Part Number Change on Label, Reason for Revision: Add additional change details",Label,"Machine, Material","Networking Products","Networking Products, Label, Intel anticipates no impact to customers, see PCN detail for further information."
119338-00,"2022/11/14 22:00:00","Select Intel(R) Agilex¬ Devices, PCN 119338-00, Product Design, Minor Substrate Change","Product Design","Material, Method","FPGA (Field-Programmable Gate Array)","FPGA (Field-Programmable Gate Array), Product Design, Intel anticipates no impact to customers, see PCN detail for further information."
119339-00,"2022/11/14 22:00:00","Select Intel(R) Stratix(R) 10 Devices, PCN 119339-00, Product Design, Minor Substrate Change","Product Design","Material, Method","FPGA (Field-Programmable Gate Array)","FPGA (Field-Programmable Gate Array), Product Design, Intel anticipates no impact to customers, see PCN detail for further information."
119335-00,"2022/11/10 22:00:00","Intel(R) Server System M50CYP2UR208, Single,, PCN 119335-00, Product Design, System Fan cage and riser changes","Product Design","Material, Method","Server Boards and Platforms","Server Boards and Platforms, Product Design, Intel anticipates no impact to customers, see PCN detail for further information."
119334-00,"2022/11/09 22:00:00","Intel(R) Server SystemM50CYP1UR212, PCN 119334-00, Product Design, BIOS/BMC/ME/FRUSDR Firmware Update in Factory","Product Design","Material, Method","Server Boards and Platforms","Server Boards and Platforms, Product Design, Intel anticipates no impact to customers, see PCN detail for further information."
119332-00,"2022/11/02 22:00:00","Intel(R) Server System M50CYP1UR212, PCN 119332-00, Product Design, BIOS/BMC/ME/FRUSDR Firmware Update in Factory","Product Design","Material, Method","Server Boards and Platforms","Server Boards and Platforms, Product Design, Intel anticipates no impact to customers, see PCN detail for further information."
119333-00,"2022/11/02 22:00:00","Intel(R) Server Board DDR4 D50TNP1SBCR, PCN 119333-00, Product Design, BIOS and Firmware Update","Product Design","Material, Method","Server Boards and Platforms, Server Chassis","Server Boards and Platforms, Server Chassis, Product Design, Intel anticipates no impact to customers, see PCN detail for further information."
119329-00,"2022/11/01 22:00:00","Select Intel(R) NUC 12 Enthusiast Kit, PCN 119329-00, Product Design, Documentation, Label, BIOS, Rating Label, Gift Box, and Regulatory Flyer Update","Product Design","Material, Method","Desktop Boards, Consumer Electronics, Compute Module","Compute Module, Consumer Electronics, Desktop Boards, Product Design, Intel anticipates no impact to customers, see PCN detail for further information."
119322-00,"2022/10/24 22:00:00","MINOR CHANGE
Select 12th Generation Intel(R) Core¬ i9, i7 and i5 for Tray and Boxed Processors, PCN 119322-00, Manufacturing Site, Label, Additional Site (Malaysia) for Assembly, Test, and Finished Manufacturing","Manufacturing Site","Machine, Man","Desktop Processors","Desktop Processors, Manufacturing Site, Intel anticipates no impact to customers, see PCN detail for further information."
118636-01,"2022/10/20 22:00:00","Intel(R) Neural Compute Stick 2, PCN 118636-01, Product Discontinuance, Product End of Life, Reason for Revision: Updates on recommended replacement product","Product Discontinuance",,"Embedded Processors, Consumer Electronics","Consumer Electronics, Embedded Processors, Product Discontinuance, Please determine your remaining demand for these products and place your last product discontinuance orders in accordance with the key milestones in the PCN."
119324-00,"2022/10/20 22:00:00","Select Intel(R) Optane¬ SSD DC D4800X Series, PCN 119324-00, Transport Media, Label, Package Kit Change and Label Updates","Transport Media",Material,"Flash Memory Products","Flash Memory Products, Transport Media, Intel anticipates no impact to customers, see PCN detail for further information."
119325-00,"2022/10/19 22:00:00","Select FPGA Development Kits, PCN 119325-00, Product Discontinuance, End of Life","Product Discontinuance",,"FPGA (Field-Programmable Gate Array)","FPGA (Field-Programmable Gate Array), Product Discontinuance, Please determine your remaining demand for these products and place your last product discontinuance orders in accordance with the key milestones in the PCN."
119317-00,"2022/10/17 22:00:00","Select Intel(R) Optane¬ SSD DC P4800X Series, PCN 119317-00, Label, Transport Media, Label, UKCA and Packaging Update",Label,"Machine, Material","Flash Memory Products","Flash Memory Products, Label, Intel anticipates no impact to customers, see PCN detail for further information."
119323-00,"2022/10/17 22:00:00","Select Intel(R) NUC X15 Laptop Kit, PCN 119323-00, Product Design, BIOS Update","Product Design","Material, Method","Desktop Boards, Consumer Electronics, Compute Module","Compute Module, Consumer Electronics, Desktop Boards, Product Design, Intel anticipates no impact to customers, see PCN detail for further information."
119320-00,"2022/10/17 22:00:00","Select Intel(R) NUC 11 Pro Kits & Boards, PCN 119320-00, Product Design, BIOS Update","Product Design","Material, Method","Desktop Boards, Consumer Electronics, Compute Module","Compute Module, Consumer Electronics, Desktop Boards, Product Design, Intel anticipates no impact to customers, see PCN detail for further information."
119318-00,"2022/10/14 22:00:00","Intel(R) Server System M50CYP1UR204, PCN 119318-00, Product Design, Firmware Update","Product Design","Material, Method","Server Boards and Platforms, Server Chassis","Server Boards and Platforms, Server Chassis, Product Design, Intel anticipates no impact to customers, see PCN detail for further information."
119311-00,"2022/10/13 22:00:00","Select Intel(R) Optane¬ Persistent Memory 100 Series, PCN 119311-00, Product Discontinuance, End of Life","Product Discontinuance",,"Flash Memory Products","Flash Memory Products, Product Discontinuance, Please determine your remaining demand for these products and place your last product discontinuance orders in accordance with the key milestones in the PCN."
119309-00,"2022/10/11 22:00:00","Intel(R) Intel(R) Agilex¬ Device family, PCN 119309-00, Documentation, Pin Connection Guidelines Update",Documentation,,"FPGA (Field-Programmable Gate Array)","FPGA (Field-Programmable Gate Array), Documentation, Intel anticipates no impact to customers, see PCN detail for further information."
119308-00,"2022/10/11 22:00:00","Select Bulk Intel(R) NUC X15 Laptop Kits, PCN 119308-00, Product Design, Add Capacitors to the Motherboard","Product Design","Material, Method","Desktop Boards, Consumer Electronics, Compute Module","Compute Module, Consumer Electronics, Desktop Boards, Product Design, Intel anticipates no impact to customers, see PCN detail for further information."
119285-00,"2022/10/10 22:00:00","Intel(R) Ethernet Network Adapter XXV710-DA2 and Intel(R) Ethernet Converged Network Adapter XL710-QDA1, PCN 119285-00, Product Discontinuance, Product End of Life","Product Discontinuance",,"Networking Products","Networking Products, Product Discontinuance, Please determine your remaining demand for these products and place your last product discontinuance orders in accordance with the key milestones in the PCN."
119301-00,"2022/10/07 22:00:00","Intel(R) Wi-Fi 6E AX411 1625 SKU, PCN 119301-00, Label, Anatel ID Laser Mark Location Change",Label,"Machine, Material","Networking Products","Networking Products, Label, Intel anticipates no impact to customers, see PCN detail for further information."
119300-00,"2022/10/07 22:00:00","Select Intel(R) QuickAssist Adapters, PCN 119300-00, Product Discontinuance, Product End of Life","Product Discontinuance",,"Networking Products","Networking Products, Product Discontinuance, Please determine your remaining demand for these products and place your last product discontinuance orders in accordance with the key milestones in the PCN."
119294-00,"2022/10/06 22:00:00","Intel(R) Wi-Fi 6E AX210 (Gig+), 2230, 2x2 AX R2 (6GHz)+BT, No vPro(R), PCN 119294-00, Product Material, Label, Cable color change and label updates","Product Material",Material,"Networking Products","Networking Products, Product Material, Intel anticipates no impact to customers, see PCN detail for further information."
119292-00,"2022/10/05 22:00:00","Intel(R) Server System R1304WFTYSR, PCN 119292-00, Label, Label update and OCP circuit alternate",Label,"Machine, Material","Server Boards and Platforms","Server Boards and Platforms, Label, Intel anticipates no impact to customers, see PCN detail for further information."
119289-00,"2022/10/05 22:00:00","Select Intel(R) Killer¬ Wi-Fi 6E AX1675 x (Gig+), 2230, 2x2 AX R2 (6GHz)+BT, No vPro(R) 
Intel(R) Wi-Fi 6E AX210 (Gig+), 2230, 2x2 AX R2 (6GHz)+BT, No vPro(R) 
Intel(R) Wi-Fi 6E AX210 (Gig+), 2230, 2x2 AX R2 (6GHz)+BT, vPro(R), PCN 119289-00, Label, Label",Label,"Machine, Material","Networking Products","Networking Products, Label, Intel anticipates no impact to customers, see PCN detail for further information."
119279-00,"2022/10/03 22:00:00","Select Intel(R) Xeon(R) E Tray and Boxed Processors, PCN 119279-00, Product Discontinuance, End of life","Product Discontinuance",,"Server Processors","Server Processors, Product Discontinuance, Please determine your remaining demand for these products and place your last product discontinuance orders in accordance with the key milestones in the PCN."
119281-00,"2022/10/03 22:00:00","Select Intel(R) Xeon(R) E Tray and Boxed Processors, PCN 119281-00, Product Support, Transitioning from Intel Architecture to Intel Embedded Architecture","Product Support",,"Server Processors","Server Processors, Product Support, Please determine your remaining demand for these products and place your last product discontinuance orders in accordance with the key milestones in the PCN."
119273-00,"2022/10/03 22:00:00","Select 10th Generation Intel(R) Core¬ i9, i7, i5 and Intel(R) Xeon(R) W Tray and Boxed Processors, PCN 119273-00, Product Discontinuance, End of life","Product Discontinuance",,"Desktop Processors","Desktop Processors, Product Discontinuance, Please determine your remaining demand for these products and place your last product discontinuance orders in accordance with the key milestones in the PCN."
119274-00,"2022/10/03 22:00:00","Select 10th Generation Intel(R) Core¬ i9, i7, i5 and Intel(R) Xeon(R) W Processors, PCN 119274-00, Product Support, Transitioning from Intel Architecture to Intel Embedded Architecture","Product Support",,"Desktop Processors","Desktop Processors, Product Support, Product transitioning from Intel Architecture to Embedded Intel Architecture."
119276-00,"2022/09/30 22:00:00","Select Intel(R) Ethernet Connection I217/I218-x Products, PCN 119276-00, Product Discontinuance, Product End of Life","Product Discontinuance",,"Networking Products","Networking Products, Product Discontinuance, Please determine your remaining demand for these products and place your last product discontinuance orders in accordance with the key milestones in the PCN."
119278-00,"2022/09/29 22:00:00","Select Intel(R) NUC 12 Pro Kit, PCN 119278-00, Product Design, Operating System Image Update","Product Design","Material, Method","Desktop Boards, Consumer Electronics, Compute Module","Compute Module, Consumer Electronics, Desktop Boards, Product Design, Intel anticipates no impact to customers, see PCN detail for further information."
119270-00,"2022/09/26 22:00:00","Custom Intel(R) NUC X15 Laptop Kits w/ Intel(R) Core¬ i7 SKUs, PCN 119270-00, Label, Update Regulatory Logos as well as Change Power Adapter Box/Location",Label,"Machine, Material","Desktop Boards, Consumer Electronics","Consumer Electronics, Desktop Boards, Label, Intel anticipates no impact to customers, see PCN detail for further information."
119277-00,"2022/09/26 22:00:00","Intel(R) Server Board M50CYP2SB1U, PCN 119277-00, Product Design, BIOS/BMC/ME/FRUSDR Firmware Update in Factory","Product Design","Material, Method","Server Boards and Platforms","Server Boards and Platforms, Product Design, Intel anticipates no impact to customers, see PCN detail for further information."
119275-00,"2022/09/26 22:00:00","Select Intel(R) NUC 12 Enthusiast Kit, NUC12SNKi72, Core¬ i7, Arc¬ A770M, PCN 119275-00, Product Design, BIOS Update","Product Design","Material, Method","Desktop Boards, Consumer Electronics, Compute Module","Compute Module, Consumer Electronics, Desktop Boards, Product Design, Intel anticipates no impact to customers, see PCN detail for further information."
119268-00,"2022/09/23 22:00:00","Select Intel Atom(R) Processors, PCN 119268-00, Documentation, Power Delivery Specification Update",Documentation,,"Embedded Processors, Automotive","Automotive, Embedded Processors, Documentation, Intel anticipates no impact to customers, see PCN detail for further information."
119272-00,"2022/09/23 22:00:00","Intel(R) Accelerator Card Kit TNPACCLBZA100, PCN 119272-00, Product Design, Power Cable Update for Supporting A100-40GB/A100-80GB","Product Design","Material, Method","Server Boards and Platforms, Server Chassis","Server Boards and Platforms, Server Chassis, Product Design, Intel anticipates no impact to customers, see PCN detail for further information."
119271-00,"2022/09/22 22:00:00","Select Intel(R) Server System, PCN 119271-00, Product Design, BIOS/BMC/ME/FRUSDR Firmware Update in Factory","Product Design","Material, Method","Server Boards and Platforms, Server Chassis","Server Boards and Platforms, Server Chassis, Product Design, Intel anticipates no impact to customers, see PCN detail for further information."
119261-01,"2022/09/20 22:00:00","Select Intel(R) Server Systems and 1100W AC Common Redundant Power Supply AXX1100PCRPS, PCN 119261-01, Product Discontinuance, End of life, Reason for Revision: European Union Regulatory Product Shipping Restriction clarification, and addition of MM# 9860","Product Discontinuance",,"Server Boards and Platforms","Server Boards and Platforms, Product Discontinuance, Please determine your remaining demand for these products and place your last product discontinuance orders in accordance with the key milestones in the PCN."
119266-00,"2022/09/19 22:00:00","Select 12thGen Intel(R) Core¬ Mobile i5, i7 and i9-Processors, PCN 119266-00, Transport Media, Shipping Tray Change","Transport Media",Material,"Mobile Processors","Mobile Processors, Transport Media, Intel anticipates no impact to customers, see PCN detail for further information."
119267-00,"2022/09/19 22:00:00","Intel(R) Trusted Platform Module 2.0 AXXTPMENC8, PCN 119267-00, Product Design, Firmware Update","Product Design","Material, Method","Server Boards and Platforms, Server Chassis","Server Boards and Platforms, Server Chassis, Product Design, Intel anticipates no impact to customers, see PCN detail for further information."
119264-00,"2022/09/12 22:00:00","Select Intel(R) Desktop Boards (including Intel(R) NUC 9 Extreme Kit and Intel(R) NUC 9 Extreme Compute Element), PCN 119264-00, Product Discontinuance, Product End of Life","Product Discontinuance",,"Desktop Boards, Consumer Electronics, Compute Module","Compute Module, Consumer Electronics, Desktop Boards, Product Discontinuance, Please determine your remaining demand for these products and place your last product discontinuance orders in accordance with the key milestones in the PCN."
119257-00,"2022/09/09 22:00:00","Select Bulk Intel(R) NUC P14E Laptop Element, PCN 119257-00, Product Design, Firmware, Keyboard Artwork Update","Product Design","Material, Method","Desktop Boards, Consumer Electronics, Compute Module","Compute Module, Consumer Electronics, Desktop Boards, Product Design, Intel anticipates no impact to customers, see PCN detail for further information."
119009-01,"2022/09/08 22:00:00","Select Intel(R) Ethernet Network Adapters, Intel(R) Ethernet Converged Network Adapters, and Intel(R) Ethernet Server Adapters Retail Bulk Packs, PCN 119009-01, Product Discontinuance, End of Life, Reason for Revision: Revise EOL Plan for Retail Bulk Pack","Product Discontinuance",,"Networking Products","Networking Products, Product Discontinuance, Please determine your remaining demand for these products and place your last product discontinuance orders in accordance with the key milestones in the PCN."
119247-00,"2022/09/08 22:00:00","Select Intel(R) Optane¬ Memory H10 and H20 with Solid State Storage, PCN 119247-00, Product Discontinuance, Product End of Life","Product Discontinuance",,"Flash Memory Products","Flash Memory Products, Product Discontinuance, Please determine your remaining demand for these products and place your last product discontinuance orders in accordance with the key milestones in the PCN."
119236-00,"2022/09/07 22:00:00","Intel(R) Server System M50CYP2UR312, PCN 119236-00, Product Design, Firmware Update","Product Design","Material, Method","Server Boards and Platforms, Server Chassis","Server Boards and Platforms, Server Chassis, Product Design, Intel anticipates no impact to customers, see PCN detail for further information."
119259-00,"2022/09/07 22:00:00","Intel(R) Server System R1208WFTZSR, Single, Intel(R) Server System R1304WFTYSR, Single, PCN 119259-00, Label, Label Update",Label,"Machine, Material","Server Boards and Platforms, Server Chassis","Server Boards and Platforms, Server Chassis, Label, Intel anticipates no impact to customers, see PCN detail for further information."
119262-00,"2022/09/07 22:00:00","Select Intel(R) NUC 12 Pro Kit NUC12WSKv7, PCN 119262-00, Product Design, BIOS Update","Product Design","Material, Method","Desktop Boards, Consumer Electronics, Compute Module","Compute Module, Consumer Electronics, Desktop Boards, Product Design, Intel anticipates no impact to customers, see PCN detail for further information."
119258-00,"2022/09/07 22:00:00","Select Intel(R) NUC 12 Compute Element ELM12HBi516W and
Intel(R) NUC 12 Compute Element ELM12HBi716W, PCN 119258-00, Product Design, BIOS Update","Product Design","Material, Method","Desktop Boards, Consumer Electronics, Compute Module","Compute Module, Consumer Electronics, Desktop Boards, Product Design, Intel anticipates no impact to customers, see PCN detail for further information."
119251-00,"2022/09/06 22:00:00","MINOR CHANGE
Select Intel(R) C620 Series Chipsets, PCN 119251-00, Manufacturing Site, Label, Enabling Vietnam Manufacturing Site","Manufacturing Site","Machine, Man","Chipsets - Workstation Server","Chipsets - Workstation Server, Manufacturing Site, Intel anticipates no impact to customers, see PCN detail for further information."
119248-00,"2022/09/06 22:00:00","Select Intel(R) Xeon(R) Processor E5 Series, PCN 119248-00, Product Discontinuance, Product End of Life","Product Discontinuance",,"Embedded Processors","Embedded Processors, Product Discontinuance, Please determine your remaining demand for these products and place your last product discontinuance orders in accordance with the key milestones in the PCN."
119246-00,"2022/09/02 22:00:00","Select Intel(R) Server Chassis, Spares and Accessories 
, PCN 119246-00, Product Discontinuance, Product End of Life","Product Discontinuance",,"Server Boards and Platforms, Server Chassis","Server Boards and Platforms, Server Chassis, Product Discontinuance, Please determine your remaining demand for these products and place your last product discontinuance orders in accordance with the key milestones in the PCN."
119249-00,"2022/09/02 22:00:00","Intel(R) Pentium(R) Processor B925C, Intel(R) Core¬ i3-3115C Processor, Intel(R) Xeon(R) Processor E3-1105C v2, Intel(R) Xeon(R) Processor E3-1125C v2 and Intel(R) Xeon(R) Processor E3-1135C v2, PCN 119249-00, Product Discontinuance, Product End of Life","Product Discontinuance",,"Embedded Processors","Embedded Processors, Product Discontinuance, Please determine your remaining demand for these products and place your last product discontinuance orders in accordance with the key milestones in the PCN."
119255-00,"2022/09/01 22:00:00","Select Intel(R) NUC11 Enthusiast Kit, Intel(R) NUC 11 Enthusiast Mini PC, PCN 119255-00, Product Design, Operating System Image Update","Product Design","Material, Method","Desktop Boards, Consumer Electronics, Compute Module","Compute Module, Consumer Electronics, Desktop Boards, Product Design, Intel anticipates no impact to customers, see PCN detail for further information."
119254-00,"2022/09/01 22:00:00","Intel(R) Compute Module HNS2600BPQR, Single, PCN 119254-00, Product Material, Product Material, Air Duct Manufacturer and tooling changes","Product Material",Material,"Server Boards and Platforms","Server Boards and Platforms, Product Material, Intel anticipates no impact to customers, see PCN detail for further information."
119242-00,"2022/09/01 22:00:00","Intel(R) Wi-Fi 6E AX411 (Gig+), 1625, DCT 2x2 AX R2 (6GHz)+BT, No vPro(R),, PCN 119242-00, Label, Label changes",Label,"Machine, Material","Networking Products","Networking Products, Label, Intel anticipates no impact to customers, see PCN detail for further information."
119245-00,"2022/08/29 22:00:00","Intel(R) Server System R1208WFTZSR, PCN 119245-00, Label, Power Supply (PSU) update",Label,"Machine, Material","Server Boards and Platforms, Server Chassis","Server Boards and Platforms, Server Chassis, Label, Intel anticipates no impact to customers, see PCN detail for further information."
119234-00,"2022/08/29 22:00:00","Intel(R) Wi-Fi 6E AX411 (Gig+), 2230, DCT 2x2 AX R2 (6GHz)+BT, No vPro(R), PCN 119234-00, Label, Label Updates",Label,"Machine, Material","Networking Products, Wireless Products","Networking Products, Wireless Products, Label, Intel anticipates no impact to customers, see PCN detail for further information."
