id,date,title,key_characteristics,categories,abstract,pdf_url
103777-00,2003-12-11,"Intel 8x11mm Stacked Chip Scale Package JEDEC Tray Transport Media Change, PCN 103777-00, FYI",Transport Media,Flash Memory Products,"Flash Memory Products, Transport Media",https://QDMS.intel.com/dm/i.aspx/C2FD4FF7-8247-44DD-8536-1779D029A09B/PCN103777-00.pdf
103760-00,2003-12-11,"Intel(R) Stacked Chip Scale Package with 32Mb Advanced+ Boot Block Flash and 8Mb SRAM, Added Cypress SRAM, PCN 103760-00, FYI",Documentation,Flash Memory Products,"Flash Memory Products, Documentation",https://QDMS.intel.com/dm/i.aspx/CF93CE2D-F39C-4EAD-87B6-AD8989C470DC/PCN103760-00.pdf
103762-00,2003-12-09,"Optical, TXN133xx, Product Line Thermo Electric Change, PCN 103762-00, FYI",Product Material,Networking Products,"Networking Products, Product Material",https://QDMS.intel.com/dm/i.aspx/11EA2C14-842E-4E6D-B4D9-1A009AAB6659/PCN103762-00.pdf
103752-00,2003-12-04,"10 Port Gigabit Ethernet SPI4.2 MAC, HFIXF1110CC & HFIXF1010CC, PCN 103752-00, FFF, Stepping Conversion from A2 & B0 to B1","Product Design, Product Marking, Order Code, Documentation",Networking Products,"Networking Products, Documentation, Order Code, Product Design, Product Marking",https://QDMS.intel.com/dm/i.aspx/F637665B-6E21-40F5-B916-D843080F1D17/PCN103752-00.pdf
103756-00,2003-12-04,"S875WP1-E, PCN 103756-00, FYI, Update to server board to remove two capacitors that are not needed.",Product Material,Server Boards and Platforms,"Server Boards and Platforms, Product Material, Date to implement this change is a non-standard compressed timeline; please see PCN details for further information.",https://QDMS.intel.com/dm/i.aspx/C6D5A3D0-5785-4EA4-8642-3A6E01EFC1B1/D103756-00.pdf
103653-01,2003-12-04,"D875PBZ, PCN 103653-01, FYI, New Fab, Clock Generator, and BIOS",Product Design,Desktop Boards,"Desktop Boards, Product Design",https://QDMS.intel.com/dm/i.aspx/64064CBF-CF10-4E31-837E-60B17F60A78D/PCN103653-01.pdf
103594-02,2003-11-21,"SE7501WV2, PCN 103594-02, FYI, Class 2; Board Changes - Current BMC Flash and BIOS Flash Parts going End of Life",Product Material,Server Boards and Platforms,"Server Boards and Platforms, Product Material, Intel anticipates no impact to customers, see PCN detail for further information.",https://QDMS.intel.com/dm/i.aspx/E3B176CC-232B-404E-8606-C9AFCDB7D856/D103594-02.pdf
103699-00,2003-11-19,"DI0408LSAR2, DI0408LSAR2JP, DI0408LSAR2EU, PCN 103699-00, FYI, Correct Incompatibility with some Bios that Results in Boards being Disabled at Startup",Product Design,Telecom and Compute,"Telecom Products, Product Design, Customers to place future orders using new order code, see details in PCN.",https://QDMS.intel.com/dm/i.aspx/AEB664C3-F4FE-4F26-8D36-4C258A0A0785/PCN103699-00.pdf
103651-00,2003-11-18,"DMV160LP, DMV160LPEU, DMV160LPHIZ, PCN 103651-00, FYI, Correct Incompatibility with some Bios that Results in Boards being Disabled at Startup",Product Design,Telecom and Compute,"Telecom Products, Product Design, Customers to place future orders using new order code, see details in PCN.",https://QDMS.intel.com/dm/i.aspx/911EB9D4-DED3-46F1-9D48-5B973FE657EC/PCN103651-00.pdf
103631-00,2003-11-17,"DISI16R2,DISI16R2JP,DISI24R2,DISI24R2JP,DISI32R2,DISI32R2JP, PCN 103631-00, FYI, Revise ASIC avoiding the issue with some BIOS not being able to allocate the required memory during Boot-up",Product Design,Telecom and Compute,"Telecom Products, Product Design, Customers to place future orders using new order code, see details in PCN.",https://QDMS.intel.com/dm/i.aspx/2720540B-E15C-44B1-985F-EF03666D7881/PCN103631-00.pdf
103713-00,2003-11-12,"Intel(R) Xeon(TM) Processor 2.20 GHz with 512KB L2 Cache on .13 Micron Process, PCN 103713-00, PD, Product Discontinuance for Tray and Boxed",Product Discontinuance,Server Processors,"Server Processors, Product Discontinuance",https://QDMS.intel.com/dm/i.aspx/C75617C7-0AE7-44A0-A14E-19C54F87C5C4/PCN103713-00.pdf
103701-00,2003-11-10,"Intel(R) Celeron(R) Processor 2 GHz, Product Discontinuance for Tray and Boxed Processors, PCN 103701-00, PD, Intel(R) Celeron(R) Processor 2 GHz, Product Discontinuance for Tray and Boxed Processors",Product Discontinuance,Desktop Processors,"Desktop Processors, Product Discontinuance, Please determine your remaining demand for these products and place your last product discontinuance orders in accordance with the key milestones in the PCN.",https://QDMS.intel.com/dm/i.aspx/6D9905CC-CF4A-463E-8031-0CB84DB0C812/PCN103701-00.pdf
103684-00,2003-11-05,"D42JCTU, PCN 103684-00, FYI, Design Change to avoid board hanging in reset condition",Product Design,Telecom and Compute,"Telecom Products, Product Design, Customers to place future orders using new order code, see details in PCN.",https://QDMS.intel.com/dm/i.aspx/D6EEC40C-2743-4A8B-9B14-276894CCB171/PCN103684-00.pdf
103662-00,2003-10-31,"CPI100, PCN 103662-00, PD, Product Discontinuance caused by Declining Demand and Migration from ISA to PCI form factor",Product Discontinuance,Telecom and Compute,"Telecom Products, Product Discontinuance",https://QDMS.intel.com/dm/i.aspx/DFD1C841-7FB9-40FA-8EF1-AF26E11A41E0/PCN103662-00.pdf
103660-00,2003-10-30,"Anti-Static Cover Tape and Protective Band Conversion for Tape and Reel Products, PCN 103660-00, FYI",Transport Media,Embedded Processors,"Embedded Processors, Transport Media, Intel anticipates no impact to customers, see PCN detail for further information.",https://QDMS.intel.com/dm/i.aspx/D27F97A6-E760-4819-89E8-E277384912B7/PCN103660-00.pdf
103676-00,2003-10-29,"Quad Gigabit Ethernet SPI3 MAC, HFIXF1104CE, PCN 103676-00, FFF, Stepping Conversion from A0 to B0","Product Design, Product Marking, Order Code, Documentation",Networking Products,"Networking Products, Documentation, Order Code, Product Design, Product Marking, Customers may want to perform standard validation testing for this change, see samples detail in PCN.",https://QDMS.intel.com/dm/i.aspx/5066ED2F-FB0E-4B40-86F5-96EE790A0522/PCN103676-00.pdf
103672-00,2003-10-24,"Mobile Intel(R) Pentium(R) 4 Processors supporting Hyper-Threading Technology with 512KB L2 Cache on 0.13 Micron Process, (533MHz System Bus only),, PCN 103672-00, FYI, Cross Shipment of Two Equivalent Packages",Product Design,Mobile Processors,"Mobile Processors, Product Design",https://QDMS.intel.com/dm/i.aspx/958CC2F5-E926-4CBC-8AC2-1A32D67A1C39/PCN103672-00.pdf
103670-00,2003-10-23,"Intel(R) Pentium(R) 4 Processor with 512KB L2 Cache on 0.13 Micron Process, (800MHz System Bus only), PCN 103670-00, FYI, Cross Shipment of Two Equivalent Packages",Product Design,Desktop Processors,"Desktop Processors, Product Design, Intel anticipates no impact to customers, see PCN detail for further information.",https://QDMS.intel.com/dm/i.aspx/7EE582E8-A4EA-4783-A8DC-7C45747DA423/PCN103670-00.pdf
103645-00,2003-10-17,"Optical,Giga, PCN 103645-00, FYI, Standardization of Line Marking for Giga Products.",Product Marking,Networking Products,"Networking Products, Product Marking",https://QDMS.intel.com/dm/i.aspx/4B6C1434-B698-4628-AE3C-AB89FC17929A/PCN103645-00.pdf
103612-00,2003-10-03,"Desktop Intel(R) Celeron(R) Processors, PCN 103612-00, FYI, Two packages for Intel Celeron processors on 0.13 Micron Process",Product Design,Desktop Processors,"Desktop Processors, Product Design",https://QDMS.intel.com/dm/i.aspx/520AD906-2241-4AF8-A720-DDEABB8918DF/PCN103612-00.pdf
103624-00,2003-10-03,"10G,Telecom, PCN 103624-00, PD, Abridged Timeline",Product Discontinuance,Networking Products,"Networking Products, Product Discontinuance, Date to implement this change is a non-standard compressed timeline; please see PCN details for further information.",https://QDMS.intel.com/dm/i.aspx/EA7B57F4-5185-4FC9-AFEF-EB76D335C96D/PCN103624-00.pdf
103626-00,2003-10-01,"SR2300/SR1300, PCN 103626-00, FYI, Class 2; CD/Floppy Assembly Firmware Update",Software,Server Chassis,"Server Chassis, Software, Intel anticipates no impact to customers, see PCN detail for further information.",https://QDMS.intel.com/dm/i.aspx/BB6456B8-755E-4116-BF5D-973CA7428D31/D103626-00.pdf
103620-00,2003-09-30,"SRCMR(U), PCN 103620-00, PD, Product discontinuance notification effective November 30, 2003",Product Discontinuance,Intel® Server RAID Controllers,"Intel(R) Server RAID Controllers, Product Discontinuance of the Intel(R) Server RAID Controller SRCMR (Product Code SRCMRU)",https://QDMS.intel.com/dm/i.aspx/AF1C005B-E034-413B-BD58-F61B794541C0/D103620-00.pdf
103621-00,2003-09-30,"SRCU31L, PCN 103621-00, PD, Product Discontinuance Notification effective November 30, 2003",Product Discontinuance,Intel® Server RAID Controllers,"Intel(R) Server RAID Controllers, Product Discontinuance of the Intel Intel(R) Server RAID Controller SRCU31L (Product Code BOXSRCU31LA)",https://QDMS.intel.com/dm/i.aspx/23E01F7A-DFF8-4BB9-AC58-5006AD0FD739/D103621-00.pdf
103622-00,2003-09-30,"SRCU31, PCN 103622-00, PD, Product Disconintuance Notification effective November 30, 2003",Product Discontinuance,Intel® Server RAID Controllers,"Intel(R) Server RAID Controllers, Product Discontinuance of the Intel(R) Server RAID Controller SRCU31 (Product Code SRCU31A)",https://QDMS.intel.com/dm/i.aspx/5D65A82A-7213-47B3-984F-15C63694260A/D103622-00.pdf
103606-00,2003-09-17,"HBLXT9785EHC.A6, C2 and C3, PCN 103606-00, FFF, Stepping Conversion and Fab Transfer","Order Code, Manufacturing Site, Documentation",Networking Products,"Networking Products, Documentation, Manufacturing Site, Order Code",https://QDMS.intel.com/dm/i.aspx/5179D3E9-FE90-4740-8044-97AEB48E337A/PCN103606-00.pdf
103510-00,2003-09-17,"New Reel for Several Intel Products, PCN 103510-00, FYI",Transport Media,"Chipsets, Desktop Processors, Embedded Processors, Microcontrollers","Chipsets, Desktop Processors, Embedded Processors, Microcontrollers, Transport Media, Intel anticipates no impact to customers, see PCN detail for further information.",https://QDMS.intel.com/dm/i.aspx/07D84CC6-D78C-4769-B386-6E0860431669/PCN103510-00.pdf
103555-00,2003-09-17,"FWLXT9785BC, EBC, HBLXT9785HC, HE, & EHC.B2 & C2, PCN 103555-00, FFF, Stepping Conversion & Fab Transfer","Order Code, Manufacturing Site, Documentation",Networking Products,"Networking Products, Documentation, Manufacturing Site, Order Code",https://QDMS.intel.com/dm/i.aspx/D84A002D-F3B8-4C94-886A-489F72142FCB/PCN103555-00.pdf
103597-00,2003-09-12,"S875WP1-E, PCN 103597-00, FYI, Update to VREG circuitry and BIOS to support future processors.","Product Design, Software",Server Boards and Platforms,"Server Boards and Platforms, Product Design, Software, Intel anticipates no impact to customers, see PCN detail for further information.",https://QDMS.intel.com/dm/i.aspx/5FEE3BBB-DC01-4371-A1EC-C635954B7DAC/D103597-00.pdf
103580-00,2003-09-04,"RCPXA26x, RDPXA26x & QLPXA26x, PCN 103580-00, FYI, Product Marking",Product Marking,Wireless Products,"Wireless Products, Product Marking",https://QDMS.intel.com/dm/i.aspx/4B65ADB3-D4BC-44E3-874B-199C3E53DD46/PCN103580-00.pdf
103459-00,2003-09-02,"Telecom & Networking Products, PCN 103459-00, FYI, BGA Tray Standardization",Transport Media,"Networking Products, Telecom and Compute","Networking Products, Telecom Products, Transport Media",https://QDMS.intel.com/dm/i.aspx/2CAF6284-1409-41F3-9B0C-BE400F903F31/PCN103459-00.pdf
103575-00,2003-09-02,"SE7501WV2, PCN 103575-00, FYI, Class 2; Resource CD Update and Server Management CD Update",Software,Server Boards and Platforms,"Server Boards and Platforms, Software, Intel anticipates no impact to customers, see PCN detail for further information.",https://QDMS.intel.com/dm/i.aspx/76DF028B-C716-4C21-A8F1-11E4BD1BFA7F/D103575-00.pdf
103576-00,2003-09-02,"SR2300/SR1300, PCN 103576-00, FYI, Class 2; Documentation CD Change",Product Material,Server Chassis,"Server Chassis, Product Material, Intel anticipates no impact to customers, see PCN detail for further information.",https://QDMS.intel.com/dm/i.aspx/8EA29620-8366-4F37-AD73-2BE3A7E5AB91/D103576-00.pdf
103550-00,2003-08-29,"DI0408LSAR2,DI0408LSAR2JP, PCN 103550-00, FYI, Change to correct exceeding the PCI board envelope dimension",Product Design,Telecom and Compute,"Telecom Products, Product Design",https://QDMS.intel.com/dm/i.aspx/77DBB167-9E01-493B-A3C0-A02BEF0AFFFC/PCN103550-00.pdf
103516-00,2003-08-27,"DISI32R2JP, PCN 103516-00, FYI, Release of new Product Assembly with both Manufacturing and Design cleanup",Product Design,Telecom and Compute,"Telecom Products, Product Design",https://QDMS.intel.com/dm/i.aspx/CDFFAA11-8907-4325-A6BB-E8A8CF851831/PCN103516-00.pdf
103502-00,2003-08-21,"IPT6720C, PCN 103502-00, FYI, Replace stepping version C0 of IXS1000 DSP  with stepping version D0. C0 version is no longer being manufactured.",Product Design,Telecom and Compute,"Telecom Products, Product Design",https://QDMS.intel.com/dm/i.aspx/FCE0A248-20A1-4DCC-8899-48C7E1E6036B/PCN103502-00.pdf
103511-01,2003-08-17,"D865PERC\D865PESO, PCN 103511-01, FYI, Front Panel header, P08 BIOS, Cap Change",Product Design,Desktop Boards,"Desktop Boards, Product Design",https://QDMS.intel.com/dm/i.aspx/844B6AEC-EA71-4DB8-A1B9-7EEE2A450089/PCN103511-01.pdf
103534-00,2003-08-17,"D865PERC\D865PESO, PCN 103534-00, FYI, CPU VREG, P09 BIOS",Product Design,Desktop Boards,"Desktop Boards, Product Design",https://QDMS.intel.com/dm/i.aspx/45A15330-E488-43E6-A50D-0FF133EAD826/PCN103534-00.pdf
103415-00,2003-08-08,"DI0408LSAR2EU, PCN 103415-00, FYI, Change to correct exceeding the PCI board envelope dimension and change to avoid possibility of incorrect booting.",Product Design,Telecom and Compute,"Telecom Products, Product Design",https://QDMS.intel.com/dm/i.aspx/24D8AAE3-773A-4BA6-A9F4-828166702829/PCN103415-00.pdf
103512-00,2003-08-05,"SR2300, PCN 103512-00, FYI, Class 2; Adding DC Power Supply Ratings to Safety Label",Product Material,Server Chassis,"Server Chassis, Product Material, Intel anticipates no impact to customers, see PCN detail for further information.",https://QDMS.intel.com/dm/i.aspx/1B79C93F-75CD-40DC-B444-6656CF4E1878/D103512-00.pdf
103461-00,2003-08-01,"10G,Optical, PCN 103461-00, PD, Abridged Time Line",Product Discontinuance,Networking Products,"Networking Products, Product Discontinuance, Date to implement this change is a non-standard compressed timeline; please see PCN details for further information.",https://QDMS.intel.com/dm/i.aspx/D7758601-A333-47B1-A768-CCCB17E0DF48/PCN103461-00.pdf
103482-00,2003-08-01,"N/TN80960SA, N/TN80960SB, PCN 103482-00, FYI, Mark Change",Product Marking,Embedded Processors,"Embedded Processors, Product Marking",https://QDMS.intel.com/dm/i.aspx/79382C01-46BC-4AE8-B02C-2FF0DA804BBF/PCN103482-00.pdf
103503-00,2003-08-01,"HBLXT9860AHC.B4 & HBLXT9863AHC.B4, PCN 103503-00, FYI, Product Marking and Manufacturing Site Change","Product Marking, Manufacturing Site",Networking Products,"Networking Products, Manufacturing Site, Product Marking, Intel anticipates no impact to customers, see PCN detail for further information.",https://QDMS.intel.com/dm/i.aspx/A21ED4EC-F3AA-4CED-AEF7-BD42726FB42B/PCN103503-00.pdf
103159-00,2003-07-17,"DMV160LP, PCN 103159-00, FYI, Release of new Product Assembly with Design Improvements",Product Design,Telecom and Compute,"Telecom Products, Product Design",https://QDMS.intel.com/dm/i.aspx/BFCC6381-0D51-48A2-B9C2-B85D8B5451A6/PCN103159-00.pdf
103445-00,2003-07-16,"ZPAWI6C1EST and ZPAW40G1LTK, PCN 103445-00, PD, Immediate Product Discontinuance.",Product Discontinuance,Networking Products,"Networking Products, Product Discontinuance",https://QDMS.intel.com/dm/i.aspx/1B298301-7FB0-46D6-A759-BAE14D77CAEA/PCN103445-00.pdf
103457-00,2003-07-16,"Intel(R) Pentium(R) 4 Processor, PCN 103457-00, PD, 2A GHz (Sub-45w) with 512KB L2 Cache on .13 Micron Process",Product Discontinuance,Desktop Processors,"Desktop Processors, Product Discontinuance",https://QDMS.intel.com/dm/i.aspx/7DC80675-B6F2-476D-A1BF-1449C50ADD6F/PCN103457-00.pdf
103426-01,2003-07-16,"S875WP1-E, PCN 103426-01, FYI, BIOS and Resource CD Update",Software,Server Boards and Platforms,"Server Boards and Platforms, Software",https://QDMS.intel.com/dm/i.aspx/863E47CD-84AC-4183-A64D-EA56DF428C56/D103426-01.pdf
103458-00,2003-07-15,"Intel(R) Xeon(TM) Processor 1.80 GHz with 512KB L2 Cache on .13 Micron Process, PCN 103458-00, PD, Product Discontinuance",Product Discontinuance,Intel® Server RAID Controllers,"Intel(R) Server RAID Controllers, Product Discontinuance",https://QDMS.intel.com/dm/i.aspx/950ECCC7-DA47-45B0-8438-E473582787FF/PCN103458-00.pdf
103387-00,2003-07-03,"D/41EPCI, PCN 103387-00, PD, Product Discontinuance caused by component obsolescence and decreasing sales",Product Discontinuance,Telecom and Compute,"Telecom Products, Product Discontinuance",https://QDMS.intel.com/dm/i.aspx/F59D73D7-46E8-4F73-B95A-B377BAC5E043/PCN103387-00.pdf
103380-00,2003-07-01,"XLXT34001XE, PCN 103380-00, PD, Immediate Product Discontinuance.",Product Discontinuance,Networking Products,"Networking Products, Product Discontinuance, Date to implement this change is a non-standard compressed timeline; please see PCN details for further information.",https://QDMS.intel.com/dm/i.aspx/65EE0C36-1CAE-4D48-8C27-8751448ACFA9/PCN103380-00.pdf
103425-00,2003-07-01,"S845WD1-E (S845WD11U), PCN 103425-00, FYI, Change to fan header circuitry.",Product Design,Server Boards and Platforms,"Server Boards and Platforms, Product Design, Intel anticipates no impact to customers, see PCN detail for further information.",https://QDMS.intel.com/dm/i.aspx/E3AB4376-19B1-4449-94A5-089816F66B56/D103425-00.pdf
103424-00,2003-06-30,"QGD19902IG,QGD19902IS,QGD1650468BA/568BA, PCN 103424-00, FYI, Change in Order Increments.",Transport Media,Networking Products,"Networking Products, Transport Media",https://QDMS.intel.com/dm/i.aspx/5809D519-4161-493B-879B-007F16A0BE8B/PCN103424-00.pdf
103238-00,2003-06-24,"D/120JCT-LS, PCN 103238-00, FYI, Release of a new Baseboard assembly that  incorporates a new QLSLAC interface micro-controller and changes in EEPROM to improve response time when performing a Memory Read.",Product Design,Telecom and Compute,"Telecom Products, Product Design",https://QDMS.intel.com/dm/i.aspx/7B4AB45D-A183-41CC-962D-47C278DE0EE6/PCN103238-00.pdf
103384-00,2003-06-18,"NLXT318PE.B5, PCN 103384-00, PD, Product Discontinuance",Product Discontinuance,Telecom and Compute,"Telecom Products, Product Discontinuance, Please determine your remaining demand for these products and place your last product discontinuance orders in accordance with the key milestones in the PCN.",https://QDMS.intel.com/dm/i.aspx/81A1E9EB-167C-4D37-86F5-047B8A025472/PCN103384-00.pdf
103391-00,2003-06-18,"SLXT336QE.B3 & LDB336, PCN 103391-00, PD, Product Discontinuance",Product Discontinuance,Telecom and Compute,"Telecom Products, Product Discontinuance, Please determine your remaining demand for these products and place your last product discontinuance orders in accordance with the key milestones in the PCN.",https://QDMS.intel.com/dm/i.aspx/996D1F1C-A149-43DD-ADA9-80986D3FE7FD/PCN103391-00.pdf
103393-00,2003-06-18,"NLXT359PE.A1, PCN 103393-00, PD, Product Discontinuance",Product Discontinuance,Telecom and Compute,"Telecom Products, Product Discontinuance, Please determine your remaining demand for these products and place your last product discontinuance orders in accordance with the key milestones in the PCN.",https://QDMS.intel.com/dm/i.aspx/7FCED9A3-E99E-4F62-950D-16988D57B941/PCN103393-00.pdf
103398-00,2003-06-18,"NST10029PE.F4, PCN 103398-00, PD, Product Discontinuance",Product Discontinuance,Telecom and Compute,"Telecom Products, Product Discontinuance, Please determine your remaining demand for these products and place your last product discontinuance orders in accordance with the key milestones in the PCN.",https://QDMS.intel.com/dm/i.aspx/E8EAEE0A-B9AB-4195-8972-7BCA6DD6D210/PCN103398-00.pdf
103408-00,2003-06-17,"D845PESV/D845PECE, PCN 103408-00, FFF, chipset stepping conversion, BIOS update, alternate SIO",Product Design,Desktop Boards,"Desktop Boards, Product Design",https://QDMS.intel.com/dm/i.aspx/A395C660-4D54-46BC-B519-DE42B9166DE9/PCN103408-00.pdf
103349-00,2003-06-10,"D/120JCT-LS, PCN 103349-00, FYI, Releases new  board assemblies that incorporates 3.3 volt version of QLSLAC, changes micro-controller, changes the front end protection fuses and changes to improve response time when performing a Memory Read.",Product Design,Telecom and Compute,"Telecom Products, Product Design",https://QDMS.intel.com/dm/i.aspx/86B0CF2D-12D2-4469-9EA6-87D9F0F47384/PCN103349-00.pdf
103329-01,2003-06-09,"SE7501WV2, PCN 103329-01, FYI, Class 1; Change to BIOS Production 9, BMC Firmware 1.18, FRU/SDR 5.5.7; Change ANVIK EEPROM image; Remove unused RC delay on clock driver; Change fan diode","Product Material, Software",Server Boards and Platforms,"Server Boards and Platforms, Product Material, Software, Intel anticipates no impact to customers, see PCN detail for further information.",https://QDMS.intel.com/dm/i.aspx/C846300A-46E7-440A-95A7-E2FAEF538263/D103329-01.pdf
103253-00,2003-06-06,"DJLXT6282LE.A3 products, PCN 103253-00, PD, Abridged Timeline.",Product Discontinuance,Networking Products,"Networking Products, Product Discontinuance, Date to implement this change is a non-standard compressed timeline; please see PCN details for further information.",https://QDMS.intel.com/dm/i.aspx/6E757D6F-8801-4AB5-91A6-C79BEC24976D/PCN103253-00.pdf
103372-01,2003-06-05,"SR2300, SR1300, PCN 103372-01, FYI, Class 2; Update Server Board SE7501WV2 from A99386-109 to A99386-110",Product Material,Server Boards and Platforms,"Server Boards and Platforms, Product Material, Intel anticipates no impact to customers, see PCN detail for further information.",https://QDMS.intel.com/dm/i.aspx/A9BA2F71-E616-40F3-B535-132BB1A66EDE/D103372-01.pdf
103324-00,2003-06-04,"D845BT2, PCN 103324-00, FFF, Rev- Up 1394 Controller, Rev -Up SIO",Product Design,Desktop Boards,"Desktop Boards, Product Design",https://QDMS.intel.com/dm/i.aspx/FE36BDD6-D02A-4D43-84EE-F959355365B6/PCN103324-00.pdf
103352-00,2003-06-04,"LAD845GERG2LC, LAD845GRGLC, PCN 103352-00, FFF, P12 BIOS, Rev Up SIO",Product Design,Desktop Boards,"Desktop Boards, Product Design",https://QDMS.intel.com/dm/i.aspx/2FA0B9BD-534C-4C99-A078-C2689061DD57/PCN103352-00.pdf
103280-00,2003-06-03,"D120JCTLS, PCN 103280-00, FYI, Incorporate correct EEPROM for Softfax",Product Design,Telecom and Compute,"Telecom Products, Product Design",https://QDMS.intel.com/dm/i.aspx/72FDCBC0-B9F5-4A6E-AF03-523760430BA3/PCN103280-00.pdf
103354-00,2003-06-02,"LBLXT16644NC, LBLXT16646NC, FALXT16666GG, FALXT16667GG and Equivalent Evaluation Boards LXD90644 and LXD90646, PCN 103354-00, PD, Abridged Time line",Product Discontinuance,Networking Products,"Networking Products, Product Discontinuance, Date to implement this change is a non-standard compressed timeline; please see PCN details for further information.",https://QDMS.intel.com/dm/i.aspx/41637394-EA6F-4990-AB08-D08B3C5331BA/PCN103354-00.pdf
103252-00,2003-06-02,"IXF6192EE Components and IXDEB6192 Evaluation Boards, PCN 103252-00, PD, Abridged Timeline.",Product Discontinuance,Networking Products,"Networking Products, Product Discontinuance, Date to implement this change is a non-standard compressed timeline; please see PCN details for further information.",https://QDMS.intel.com/dm/i.aspx/BCB3F933-2DA8-4295-B58D-DBE35182A040/PCN103252-00.pdf
103345-00,2003-05-22,"SR2300, PCN 103345-00, FYI, Class 2; Adding DC Power Supply Ground Studs",Product Design,Server Chassis,"Server Chassis, Product Design, Intel anticipates no impact to customers, see PCN detail for further information.",https://QDMS.intel.com/dm/i.aspx/6F2A316F-FFA0-40D6-9A68-66011E32F152/D103345-00.pdf
103321-01,2003-05-08,"D865PERL, PCN 103321-01, FFF, Change the revision of 1394 controller, BIOS update",Product Design,Desktop Boards,"Desktop Boards, Product Design",https://QDMS.intel.com/dm/i.aspx/A0DAFB19-2029-402B-A9FA-2A28196FBCB7/PCN103321-01.pdf
103293-01,2003-05-07,"D865PERL, PCN 103293-01, FYI, BIOS update, add alternate SIO part",Product Design,Desktop Boards,"Desktop Boards, Product Design",https://QDMS.intel.com/dm/i.aspx/F5B99844-1916-4F80-8A05-BB4BD66C4718/PCN103293-01.pdf
